Fecha;Casos;Indice;;;
7/3/20;1;1;;;
8/3/20;1;1;;;
9/3/20;1;5;;;
10/3/20;5;1;;;
11/3/20;5;1.2;;;
12/3/20;6;1.166666667;;;
13/3/20;7;1;;;
14/3/20;7;1.142857143;;;
15/3/20;8;1.125;;;
16/3/20;9;1.222222222;;;
17/3/20;11;1;;;
18/3/20;11;1.181818182;;;
19/3/20;13;1.384615385;;;
20/3/20;18;1.222222222;;;
21/3/20;22;1;;;
22/3/20;22;1.681818182;;;
23/3/20;37;1;;;
24/3/20;37;1.108108108;;;
25/3/20;41;1.268292683;;;
26/3/20;52;1.076923077;;;
27/3/20;56;1.053571429;;;
28/3/20;59;1.084745763;;;
29/3/20;64;1.015625;;;
30/3/20;65;1.061538462;;;
31/3/20;69;1.115942029;;;
1/4/20;77;1.194805195;;;
2/4/20;92;1.043478261;;;
3/4/20;96;1.083333333;;;
4/4/20;104;1.086538462;;;
5/4/20;113;1.017699115;;;
6/4/20;115;1.034782609;;;
7/4/20;119;1.042016807;;;
8/4/20;124;1.040322581;;;
9/4/20;129;1.031007752;;;
10/4/20;133;1.007518797;;;
11/4/20;134;1.097014925;;;
12/4/20;147;1.081632653;;;
13/4/20;159;1.012578616;;;
14/4/20;161;1.080745342;;;
15/4/20;174;1.143678161;;;
16/4/20;199;1.015075377;;;
17/4/20;202;0;;;
18/4/20;;;;;
19/4/20;;;;;
